id;type;url;ip;date;
"237";"HeykLog";"http://heyklog.org/login.php";"104.27.160.73";"19-09-2017";
"238";"Pony";"http://mcind-au.com/three/sparkle/admin.php";"164.160.128.116";"20-09-2017";
"239";"Pony";"http://mcind-au.com/two/sparkle/admin.php";"164.160.128.116";"20-09-2017";
"240";"Pony";"http://mcind-au.com/one/sparkle/admin.php";"164.160.128.116";"20-09-2017";
"241";"Pony";"http://mcind-au.com/four/sparkle/admin.php";"164.160.128.116";"20-09-2017";
"242";"DiamondFox";"http://bitvatitanovmrush.zzz.com.ua/";"5.79.66.145";"20-09-2017";
"243";"Conceal Logger";"http://www.fntcr.com/Panel";"190.112.221.104";"20-09-2017";
"244";"Phishing";"http://chaoyasi.com/img/index.php";"142.0.139.56";"20-09-2017";
"245";"Unknown";"http://paket.pw/test5/index.php";"5.199.164.111";"21-09-2017";
"246";"Stealer";"http://steal.lovebmw.xeovo.ml/";"40.68.186.59";"22-09-2017";
"247";"Pony";"http://southeasterncontractingco.com/domainkey/74149/admin.php";"89.39.107.15";"22-09-2017";
"248";"Zeus";"http://polyseed.my/don/cp.php?m=login";"103.8.27.236";"22-09-2017";
"249";"Atmos";"http://pandyi.com/maka/atmos/cp.php?m=login";"185.141.25.242";"22-09-2017";
"250";"Pony";"http://pandyi.com/hen/panel/admin.php";"185.141.25.242";"22-09-2017";
"251";"Atmos";"http://pandyi.com/pato/atmos/cp.php?m=login";"185.141.25.242";"22-09-2017";
"252";"Atmos";"http://fenipourashava.com/img/office/smile/server/cp.php?m=login";"174.141.231.14";"22-09-2017";
"253";"Phishing";"http://185.165.29.81/";"185.165.29.81";"22-09-2017";
"254";"Pony";"http://185.165.29.112/me/admin.php";"185.165.29.112";"22-09-2017";
"255";"Pony";"http://185.165.29.112/et/admin.php";"185.165.29.112";"22-09-2017";
"256";"Neutrino";"http://185.165.29.77/install.php";"185.165.29.77";"22-09-2017";
"258";"QuantLoader";"http://185.165.29.105/admin/";"185.165.29.105";"22-09-2017";
"259";"Unknown";"http://185.165.29.140/d/l.php";"185.165.29.140";"22-09-2017";
"260";"Pony";"http://megansbakeshop.com/admin/panel/admin.php";"173.254.58.198";"22-09-2017";
